entreprise;type_entreprise;siren;volet_relance;mesure;nom_departement;nom_commune;code_postal;coordonnees_gps;description_projet;mesure_light;mise_a_jour;filiere;tonnes_equivalent_co2_pour_les_projets_decarbonation;code_departement;nom_region
LE MANOIR DES ABEILLES;TPE / PME;443583554;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;MANCHE;SAINT-NOLFF;50170;48.55959476920662, -1.4944129293847745;Située à Pontorson (50), Le Manoir des Abeilles est une entreprise artisanale spécialisée dans la production de miel, gâteaux, pains d’épices et biscuits, à base de miel. Fin 2019, le Manoir des Abeilles a entamé une nouvelle phase de son développement suite à la reprise de la société par Philippe Le Duff. Entrepreneur engagé dans le BIO depuis 1988, ce dernier souhaite donner une impulsion forte en investissant autant dans l’humain que dans le matériel et ainsi accentuer l’ADN de l’entreprise vers les produits régionaux et biologiques à base de Miel (voire « pur miel, sans sucres ajoutés, ou encore au Miel de France... »). Dans le respect de ses valeurs, le Manoir s’engage en faveur du développement durable de la filière apicole, notamment par une rémunération juste et équitable sur la durée de ses apiculteurs partenaires, seuls protecteurs des abeilles garantes de la biodiversité. L’engagement de l’entreprise se concrétise également par la relance de sa propre production de miel bio avec plusieurs centaines de ruches. Le Manoir des Abeilles est aussi engagé avec la région Normandie pour le développement du conservatoire de l’Abeille Noire dans la Manche. Le Manoir est également passé à l’Énergie verte, travaille avec des centres pour personnes handicapées, et est mécène de la fondation Mont St Michel / Notre Dame ainsi que de l’école d’apiculture avec la première option Bio, qu’elle co-anime. Le projet d’extension de l’entreprise a pour objectif de poursuivre le développement qui a été freiné par l’arrivée du Covid. Pour lui permettre de continuer son activité, l’entreprise a besoin d’aides pour augmenter ses capacités. Le bâtiment actuel est notamment aujourd’hui un facteur limitant en termes d’optimisation de ses approvisionnements, mais aussi et surtout en termes de conditions de travail pour ses collaborateurs. La réorganisation de ses ateliers va aussi permettre à l’entreprise de proposer de nouveaux produits.;Projets territoriaux;2021-06-03;Agroalimentaire;;50.0;NORMANDIE
MANUFACTURE POUR L'EXTRUSION D'ALLIAGES;TPE / PME;329845887;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;HAUTE-MARNE;Doulaincourt-Saucourt;52270;48.3149359491, 5.2044416904;"MEA transforme des métaux non ferreux en extrusion à chaud, cuivre, laiton et alliages complexes pour réaliser des produits semi-finis destinés aux secteurs de l’électricité, du luxe, du bâtiment, de l’aéronautique ou encore l’ameublement. 
Le projet (4,5M€) a pour objectif la localisation en France d’une coulée continue d'alliages non ferreux spécifique sans plomb afin de sécuriser l’amont d’une production constitutive de filières d’excellence françaises, notamment dans le luxe, l'aéronautique, et l'électricité. Il devrait conduire à la création de 8 emplois.";Projets territoriaux;2022-01-27;Mines et métallurgie;;52.0;GRAND EST
PELLENC;ETI;305061186;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;VAUCLUSE;Pertuis;84120;43.6872357464, 5.52052480281;PELLENC est spécialisée dans la conception et la construction d’équipements pour la viticulture, le chai, l’arboriculture, et l’entretien des espaces verts et urbains. Le projet porte sur la relocalisation et le développement de l'activité des outils électroportatifs : fournir aux clients professionnels des secteurs agricoles et de l’entretien des villes et espaces verts, des outils électro-portatifs innovants, performants, origine garantie France et orientés développement durable. 75 emplois pourront être créés grâce à ce projet et 570 seront maintenus.;Projets territoriaux;2022-03-31;Construction;;84.0;PROVENCE-ALPES-CÔTE D'AZUR
SANGAMO THERAPEUTICS FRANCE;TPE / PME;435361209;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;ALPES-MARITIMES;VALBONNE;6560;43.628288325, 7.02954476696;Le projet porté par Sangamo Therapeutics France, vise à développer le premier site de production polyvalent et propriétaire de la société pour la fabrication de ses lots cliniques de thérapies cellulaires dans un cadre réglementaire de Médicaments de Thérapie Innovante (MTI). Ce projet permettra à la société de prendre en charge de façon autonome et maîtrisée, la fabrication de ses produits pour ses études cliniques, les contrôles libératoires, et la distribution. Ce site de production sera l’un des plus innovants et performants pour la production d'immunothérapies cellulaires.;Projets territoriaux;2021-03-02;Santé;;6.0;PROVENCE-ALPES-CÔTE D'AZUR
SOLAMAZ;TPE / PME;791654072;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;GUYANE;CASTELSARRASIN;97300;4.900525574642878, -52.32697564496019;Solamaz, entreprise spécialisée dans la fabrication de lampadaires solaires photovoltaïques intelligents et autonomes et dans le développement, la construction, l’exploitation et la maintenance de centrales solaires en autoconsommation, s’inscrit directement dans la transition énergétique avec un projet durable : une énergie propre, renouvelable et gratuite. L’entreprise investira dans un nouvel actif industriel afin de gagner en autonomie, augmenter ses capacités de production et répondre aux nombreux besoins, en Guyane, dans la grande région amazonienne et plus généralement à l’international. Le projet représente un investissement industriel de 628 000 euros. 3 nouveaux emplois directs pourront être créés grâce à ce projet.;Projets territoriaux;2021-03-04;Nouveaux systèmes énergétiques;;973.0;GUYANE
WEISROCK VOSGES;TPE / PME;882635832;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;VOSGES;SAULCY-SUR-MEURTHE;88580;48.2424754243, 6.94912538655;"Sauvegarde et pérennisation de l'activité industrielle de WEISROCK sur le site. 
Extension et modernisation de l'outil de production.
Développement de nouveaux produits pour répondre aux attentes du marché.
Développer l'utilisation du bois dans la construction.
Garantir sous 5 ans 200 emplois industriels.";Projets territoriaux;2021-03-02;Bois;;88.0;GRAND EST
ARCADIE;TPE / PME;393025697;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;GARD;MÉJANNES-LES-ALÈS;30340;44.10161097, 4.15129605543;Arcadie est une entreprise spécialisée dans les plantes et épices issues de l’agriculture biologique sous les marques Cook et L'Herbier de France. Son projet vise à construire de nouveaux bâtiments à énergie positive, avec des matériaux à bas impact carbone. 30 emplois devraient être créés à horizon 2024.;Relocalisation;2022-02-09;Agroalimentaire;;30.0;OCCITANIE
FORGITAL DEMBIERMONT;TPE / PME;572020154;Verdissement;Modernisation de la filière aéronautique;NORD;HAUTMONT;59330;50.2478507103, 3.91948913803;Forgital Dembiermont entreprise de métallurgie fondée en 1881, est l'un des plus grands spécialistes mondiaux de la fabrication d'anneaux roulés sans soudure. L’entreprise est équipée de trois laminoirs, dont l'un est le plus puissant d'Europe. Elle travaille avec tous les types de matériaux: acier, carbone, alliages, aluminium, cuivre et bronze. L’entreprise produit une très large gamme d'anneaux laminés de poids compris entre 10 kg et 40 tonnes, avec des diamètres de 300 mm à 8000 mm. Le projet doit permettre à l'entreprise de diversifier sa gamme de produits proposés sur les marchés de la défense, de l’aéronautique et du spatial afin de pouvoir répondre aux besoins des clients pour des pièces de plus grandes dimensions, ce qui induit des efforts de R&D ainsi que d'intégrer des prestations actuellement réalisées à l’étranger: l’usinage et le contrôle de certaines pièces finies.;Aéronautique;2021-06-18;Aéronautique;;59.0;HAUTS-DE-FRANCE
SPM 44;TPE / PME;883253742;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;LOIRE-ATLANTIQUE;SORINIERES;44840;46.5050234767, -1.17034425311;SPM44 est une société de peinture industrielle. Elle porte ce projet capacitaire, modernisation et environnemental qui vise à relancer et développer son activité : process thermo-laquage sans solvant. 3 créations emplois.;Projets territoriaux;2021-08-31;Mines et métallurgie;;44.0;PAYS DE LA LOIRE
Clairefontaine;;40296529700011;Verdissement;Soutien à la chaleur bas carbone;VOSGES;ETIVAL-CLAIREFONTAINE;88480;48.3643386923, 6.84394360336;Installation biomasse de 20 MW sur le site des Papeteries de Clairefontaine (substitution au gaz);Soutien à la chaleur bas carbone;2022-03-21;Papier/carton;36652;88.0;GRAND EST
SOURIAU;GE;421320268;Verdissement;Modernisation de la filière aéronautique;NORD;NEUVILLE-SUR-ESCAUT;59293;50.2905014388, 3.35160622721;SOURIAU est un des leaders mondiaux dans les solutions d’interconnexion électriques et optiques, spécialisé dans les solutions pour environnements sévères. L’entreprise étudie et fabrique en France des composants, connecteurs, contacts et accessoires standardisés mais aussi des harnais et sous-systèmes d’interconnexion complexes sur spécification client. Le projet s'inscrit dans l'axe Industrie du Futur, par l’utilisation de robots collaboratifs dans l’assemblage de composants complexes et miniatures. Les robots utilisés vont aussi permettre d’améliorer la qualité des produits sur les opérations très précises.;Aéronautique;2021-02-10;Aéronautique;;59.0;HAUTS-DE-FRANCE
G. MAGYAR SA;ETI;304189590;Verdissement;Modernisation de la filière automobile;CÔTE-D'OR;VIRE NORMANDIE;21004;47.322329980693084, 5.0241593250108;"La société Magyar, fondée en 1945 est une société familiale spécialisée dans la fabrication et la commercialisation de citernes routières, ferroviaires et maritimes destinées au transport, à la collecte et à la distribution de liquides alimentaires,  chimiques et d’hydrocarbures conventionnels (fioul, gas-oil, essences et carburation aviation). Le siège du groupe est à Dijon et les 4 sites de production se situent en Bourgogne Franche-Comté. Le groupe emploie 700 personnes. 
Le projet « INIT » a pour objectifs de développer des nouveaux produits afin de répondre à la baisse des ventes des citernes hydrocarbures. Les investissements sont destinés à améliorer la productivité et la compétitivité de l’entreprise par la modernisation de ses outils de production (robots, automatisation, économies d’énergie,…) mais également à assurer sa transformation numérique. Il s’agit d’un projet stratégique pour l’entreprise qui doit lui permettre d’ici 2025 de compenser la baisse de son activité historique par la production de nouveaux matériels de transport.";Automobile;2021-02-10;Automobile;;21.0;BOURGOGNE-FRANCHE-COMTÉ
CPK PRODUCTION FRANCE;GE;433935764;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;LOIR-ET-CHER;GRENOBLE;41013;47.61230758086053, 1.3016227607795183;L’usine CPK Production France SAS, plus connue sous le nom de « l’usine Poulain », est installée à Villebarou à quelques kilomètres du centre de Blois et du site de l’usine historique de la marque Poulain créée en 1848. Fabricant depuis toujours du chocolat en poudres ou en tablettes, les produits de la marque Poulain ont été rejoints par la marque anglaise Terry’s, ainsi que par différentes marques de poudres chocolatées à destination de l’Allemagne (Kaba), de l’Autriche (Benco) ou de la Suisse (Suchard Express). L’usine délivre aussi des masses de chocolat utilisées comme matières premières dans les autres usines du groupe dont l’usine de Strasbourg. L’usine investit aujourd’hui dans un projet d’automatisation de l’encaissage sur l’une de ses lignes de tablettes. Cette modernisation permettra des améliorations en termes de productivité afin de continuer à accélérer le développement de ses marques à l’export (Terry’s) et en France (Poulain). Cette automatisation permettra également d’améliorer les conditions de travail des 15 salariés qui travaillent sur cette ligne, ainsi que de consolider le savoir-faire chocolatier du site. Le « Fabriqué en France » c’est la fierté et la force du groupe Carambar & Co depuis sa création en 2017. Dans ce contexte, la relocalisation de nombreux volumes de productions a été faite afin de préserver les emplois des 140 salariés du site de Blois. Les investissements se poursuivent aujourd’hui afin de continuer à développer la compétitivité tout en optimisant les conditions de travail des salariés.;Projets territoriaux;2021-06-03;Agroalimentaire;;41.0;CENTRE-VAL DE LOIRE
LESBATS SCIERIES D AQUITAINE;TPE / PME;985620129;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;LANDES;SAINT-PERDON;40090;43.876642393, -0.592344644048;Pour une meilleure compétitivité et assurer les demandes du marché, LESBATS SCIERIES D'AQUIITAINE souhaite modifier sa logique industrielle et produire « par type de grume ». Sur Saint Perdon, une nouvelle ligne de sciage sera dédiée aux « petits bois », billons de diamètre inférieur à 25cm. En parallèle, il devient nécessaire de moderniser l’outil de production situé sur Léon et d’investir dans une nouvelle machine de sciage dédié aux billons de forts diamètres. Cet investissement s’accompagne de la réorganisation complète du parc à grume et du stockage des connexes de sciage.;Projets territoriaux;2021-03-02;Bois;;40.0;NOUVELLE-AQUITAINE
GTP Technology (VNANO);TPE / PME;433139557;Indépendance / Compétitivité;AMI Capacity, portant sur des capacités de production de produits thérapeutiques liés au COVID-19;HAUTE-GARONNE;LABÈGE;31670;43.550816855661736, 1.5014823783634101;La société GTP Technology, filiale du groupe GTP Bioways, va créer une nouvelle unité de fabrication biopharmaceutique sur son site deToulouse. A travers ce projet, GTP Bioways sera le seul CDMO en France à proposer descapacités de production en qualité pharmaceutique (GMP) pour la production en système microbien de protéines à visée vaccinale ou thérapeutique,ainsi que de réactifs critiques nécessaires à la fabrication de vaccins contre la COVID à ARNm.Le recrutementlié au projet sera d’au moins 30 emplois.;Santé - Capacités Covid;2021-12-02;Santé;;31.0;OCCITANIE
REVOCOAT FRANCE SAS;GE;80538555600016;Verdissement;Modernisation de la filière automobile;OISE;SAINT-JUST-EN-CHAUSSEE;60130;49.5112063236, 2.41780624403;"Revocoat France SAS une entité du Groupe PPG, conçoit, produit et commercialise des produits et services en relation avec les mastics de carrosserie (adhésifs, calages, produits insonorisant, mastics d’étanchéité, d’anti-gravillonnage et de renforcement). Revocoat France est fournisseur des constructeurs et des équipementiers de rang 1.
Le projet doit permettre à la société de développer une nouvelle offre de produits anti-feu pour les bacs batteries des véhicules électriques. Dans ce cadre, l’entreprise prévoit d’aménager un bâtiment existant qui accueillera un nouvel atelier (équipé de deux nouveaux mélangeurs et d’une ligne de conditionnement) et de mettre en place des systèmes de stockage et d’approvisionnement automatisés pour les matières premières, des systèmes d’aspiration et de ventilation, des unités de filtration, et des unités de conditionnement. La création d’un nouvel espace pour l’activité de nettoyage des containers du site est également prévue.";Automobile;2021-11-02;Automobile;;60.0;HAUTS-DE-FRANCE
"COOPERATIVE AGRICOLE LAITIERE ""LES MAITRES LAITIERS DU COTENTIN""";GE;338154610;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;MANCHE;SAINT-CLAUDE;50260;49.52427012257935, -1.6046733185326598;"4ème employeur de la Manche, Les Maîtres Laitiers du Cotentin est une coopérative de 1 129 sociétaires producteurs de lait et 5 032 salariés, produisant sur ses 3 sites industriels (Sottevast, Valognes, Méautis) toutes les catégories de produits laitiers : lait, fromages frais, fromages, crème, beurre, petits suisses et yaourts. Après une nouvelle segmentation laitière en 2019 (lait de pâturage non-Ogm, lait bas-carbone, lait Bio et AOP) pour répondre aux nouvelles attentes des consommateurs et aux enjeux de développement durable, la coopérative poursuit ses chantiers de progrès sur l’amélioration de ses recettes (réduction des taux de sucre, arômes naturels, enrichissement calcium et vitamine D). L’acquisition de nouvelles technologies sur le site de Valognes vise à répondre à ces enjeux, alliant le maintien d’un haut niveau d’un savoir-faire laitier ancestral et l’ancrage durable des emplois sur son territoire ; poursuivant ainsi sa mission de redistribution de la valeur créée et la défense de l’excellence de la gastronomie française.";Projets territoriaux;2021-06-03;Agroalimentaire;;50.0;NORMANDIE
SIEGEAIR;TPE / PME;300204443;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;VAL-DE-MARNE;Nogent-sur-Marne;94130;48.8366634713, 2.48166741533;0;Projets territoriaux;2022-03-31;Mode et Luxe;;94.0;ÎLE-DE-FRANCE
UNICOQUE;TPE / PME;316468461;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;LOT-ET-GARONNE;CANCON;47290;44.5114048641, 0.623448360268;Unicoque est un leader français de la production, du traitement industriel et de la commercialisation de fruits à coques (crues, torréfiées, en éclats, en poudre, etc.). Son projet vise à augmenter ses capacités de production de noisettes en construisant un nouveau bâtiment, une chambre froide et une zone de stockage. Ce projet permet d’accroître notre souveraineté alimentaire dans la production de noisettes et de fruits à coques, très utilisés dans l’industrie agroalimentaire, et de relocaliser en France des activités actuellement réalisés majoritairement à l’étranger. 152 emplois pourraient être créés à terme.;Relocalisation;2021-02-23;Agroalimentaire;;47.0;NOUVELLE-AQUITAINE
AMCC FENETRES ET PORTES;TPE / PME;404190993;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;INDRE;SAINT-MARTIN-LA-PALLU;36000;46.81646041570749, 1.7214581410580814;La société AMCC fabrique et commercialise depuis plus de 70 ans des fenêtres, des portes et des  volets roulants, en PVC, Aluminium, bois et multi-matériaux. Tous ces produits sont à hautes  performances énergétiques pour les constructions neuves et en rénovation. AMCC doit investir dans le développement et  l'industrialisation de menuiserie mixte PVC / Alu dénommé ALYA. Le projet d'extension va  permettre d'héberger le nouvel atelier de production de cette gamme. Cet atelier  complémentairement aux équipements déjà disponibles sur le site, sera équipé d'un centre d'usinage  nouvelle génération, de logistique automatique pour réduire la pénibilité des salariés, deux robots 6  axes de ferrage et de collage, ainsi que des équipements d'aménagement d'atelier. Ce développement produit va permettre d'augmenter de l'ordre de 10 personnes sous 3 ans l'effectif  de production actuellement porté à 121 personnes, et va également augmenter le volume d'achat  d'une partie de la matière première achetée en région castelroussine chez un leader de la production  de produit aluminium.;Projets territoriaux;2021-08-05;Construction;;36.0;CENTRE-VAL DE LOIRE
ATEQ;ETI;304327133;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;YVELINES;SAINT-PIERRE-DES-CORPS;78340;48.82677458958836, 1.9712806122231603;L'entreprise ATEQ est spécialisée das la conception d'instruments de vérification d'étanchéité et de détection de fuite, d'outils de disgnostics TPMS et d'instruments et bancs d'essais pour l'aéronatique. Intégrées aux chaines de production, les applications sont diverses : automobile, médical, appareils électroniques. Avec l'essor des nouvelles technologies et plus particulièrement l'augmentation de la production de véhicules électriques, le projet de l'entreprise consiste à étoffer son offre via le développement de solutions de tests adaptées à ce secteur. La structuration de ce nouveau département implique l'extension du site industriel des CLayes sous Bois, 11 recrutements, des dépenses matériels et d'ingénierie.;Projets territoriaux;2021-08-05;Electronique;;78.0;ÎLE-DE-FRANCE
SERINOX SN;TPE / PME;492824370;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;PUY-DE-DÔME;THIERS;63300;45.8620554106, 3.53945258847;Depuis sa création en 1957, la société Sérinox a su faire évoluer ses compétences pour devenir un partenaire majeur des constructeurs du secteur ferroviaire. Afin de pérenniser l’activité et d’évoluer vers l’industrie du futur,  Sérinox a engagé un projet ambitieux de modernisation des équipements industriels en intégrant un laser fibre automatisé et un centre d’usinage à commande numérique. L’entreprise va ainsi renforcer sa compétitivité, développer les compétences de ses équipes tout en réduisant son impact environnemental.;Projets territoriaux;2021-03-02;Mines et métallurgie;;63.0;AUVERGNE-RHÔNE-ALPES
SOROCAL;TPE / PME;384206;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;NOUVELLE-CALÉDONIE;NOUMEA;98800;;;Projets territoriaux;2021-11-09;Chimie et Matériaux;;98.0;NOUVELLE-CALÉDONIE
TOWER FARM R&D;TPE / PME;832536817;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;VAL-D'OISE;BOUQUEVAL;95720;49.023443983135586, 2.425971088611481;TOWER FARM R&D est une société spécialisée dans la conception de procédés innovants dans le domaine de l'agriculture urbaine indoor. L'entreprise développe une technologie aéroponique, permettant une culture des plantes à la verticale, sur des tours rotatives dans un environnement pleinement contrôlé, à l'abri des dérèglements climatiques et des contraintes saisonnières. Ayant déjà validé ses compétences sur le marché des plantes comestibles, l'entreprise souhaite désormais renforcer ses capacités de production de plantes à valeur Santé pour adresser le secteur des cosmétiques. Le site aménagé permettra la culture d'une grande variété de plantes médicinales à haute valeur ajoutée. L'entreprise prévoit de créer 12 emplois à travers ce projet.;Projets territoriaux;2021-08-05;Aéronautique;;95.0;ÎLE-DE-FRANCE
VM BUILDING SOLUTIONS;ETI;509378386;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;NORD;Auby;59950;50.4142959158, 3.06115822735;Il s’agit d’investir dans les meilleures technologies industrielles pour obtenir une gamme d'accessoires en zinc d'évacuation d'eau pluviales produite en France, de haute qualité et de réduire l'impact environnemental. La robotisation des procédés permettra, par un gain important de compétitivité, de relocaliser la fabrication en France des accessoires standards d’évacuation des eaux pluviales vendus en Europe et garantira sur le long terme des débouchées pour le zinc coulé et laminé en France par cette société à partir de zinc brut acheté à la société Nyrstar implantée sur le même territoire.;Projets territoriaux;2022-01-27;Construction;;59.0;HAUTS-DE-FRANCE
LDM;TPE / PME;639800382;Verdissement;Modernisation de la filière aéronautique;YVELINES;AUBERGENVILLE;78410;48.9626916321, 1.84870251915;"LDM est une société industrielle spécialisée dans la conception et la fabrication en petite série de pièces mécaniques critiques ou vitales de petite taille avec des tolérances de quelques microns.
Le projet de LDM s’articule autour de 2 axes :
-	La modernisation de son outil industriel à travers l’acquisition de robots afin d’augmenter la productivité de l’entreprise et d’améliorer les conditions de travail des équipes. 
-	La diversification de ses activités, l’entreprise souhaite se développer dans le domaine de l’horlogerie où ses compétences en micromécanique sont très recherchées. La société a déjà noué un partenariat exclusif avec une marque de montre Française pour la fabrication de ses boitiers.";Aéronautique;2021-02-10;Aéronautique;;78.0;ÎLE-DE-FRANCE
CESSAC EMBALLAGES;TPE / PME;408432052;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;CORRÈZE;SAINT-HILAIRE-PEYROUX;19330;45.212460881800254, 1.6462271599747857;Cessac Emballages est une PME spécialisée dans la transformation de carton ondulé. Cessac Emballages et Cartonnage d'Aubazine sont des sociétés qui détiennent plusieurs marques spécialisées dans la création, la fabrication et la commercialisation d'emballages en carton, en bois et en tissu. La première société a été créée en 1973 et aujourd'hui cet ensemble emploie 30 salariés et réalise un chiffre d'affaires annuel de 4 M€. Grâce à leurs propres moyens logistiques, ces deux sociétés assurent à leurs clients une totale autonomie pour la livraison de leurs produits. L’objectif du projet s’inscrit dans une logique « Industrie du Futur » et prévoit la création d’une nouvelle marque à la fois par la création d'un nouveau site de production et la modernisation/ amélioration de l'outil de production afin de proposer une offre globale pour mieux répondre au besoin des clients (pénétration de nouveaux marchés et fabrication de petites séries pour élargir le portefeuille clients). De plus, ce projet participe à la transition écologique des procédés utilisés lors de la production des emballages (impression numérique à l'encre à l'eau) et permettra la création de 2 à 10 nouveaux emplois.;Projets territoriaux;2021-08-31;Bois;;19.0;NOUVELLE-AQUITAINE
IF TECH;TPE / PME;453593261;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;MAINE-ET-LOIRE;LES PONTS-DE-CÉ;49130;47.430759268441435, -0.5450603251721968;IF TECH une société innovante spécialisée des solutions biocontrôles (insectes auxiliaires) et biostimulants proposant des alternatives aux engrais et insecticides chimiques. Elle porte ce projet de développement et industrialisation pour s’affirmer comme acteur majeur du secteur en France et en Europe. 20 créations emplois.;Projets territoriaux;2021-09-30;Agroalimentaire;;49.0;PAYS DE LA LOIRE
LEMAITRE SECURITE;TPE / PME;558500203;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;BAS-RHIN;VAL-DE-MODER;67350;48.8432047964, 7.59893121728;"La crise de la COVID a mis un point d'arrêt au transfert industriel vers le nouveau site alsacien de production 4.0 déjà fortement engagé depuis 2018 et pour lequel l'entreprise était financièrement autonome pour le réaliser (6 M€ engagés depuis 2016 avec le site logistique). 
Ce projet industriel local est en phase d'achèvement pour permettre une augmentation de la production de chaussures de sécurité par injection polyuréthane bi-densité et ainsi créer de nouveaux emplois directs.
L'arrêt brutal des ventes d'EPI à nos clients de l'automobile et de l'aéronautique s'est traduit par une baisse de 25% de CA sur le 1er semestre et mis à mal la capacité de poursuivre les investissements nécessaires à la réalisation de la dernière phase du projet évaluée entre 700 et 1000K€";Projets territoriaux;2021-03-02;Mode et Luxe;;67.0;GRAND EST
SEVALOR;TPE / PME;844976530;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;SEINE-ET-MARNE;RÉAU;77550;48.61525727893635, 2.628956040723082;SEVALOR BY MOULINOT est une entreprise spécialisée dans le recyclage des déchets alimentaires. Le projet vise à créer une plateforme de massification de prétraitement des biodéchets sur la commune de Réau (77). Cette installation industrielle permettra d'une part de regrouper les collectes de biodéchets de proximité afin d'optimiser le schéma logistique de valorisation et d'autre part de les préparer afin d'obtenir une matière organique de qualité qui puisse être directement valorisée sur les unités de métahnisation agricoles partenaires du territoire, en énergie renouvelable et en fertilisant naturel. L'entreprise prévoit de créer 4 nouveaux emplois à travers ce projet.;Projets territoriaux;2021-08-05;Transformation et valorisation des déchets;;77.0;ÎLE-DE-FRANCE
AXFIL;TPE / PME;498633593;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;ORNE;AJACCIO;61300;48.74243000452037, 0.6404591687748872;Axfil est une PME industrielle spécialiste du travail du fil et de la bande métallique (acier inoxydable, acier corde à piano, aciers trempants, aciers doux, alliages…) en petites, moyennes et grandes séries œuvrant notamment pour les secteurs de l’électronique, du médical, de l'automobile et de l’aéronautique. La société emploie 37 personnes et réalise la majeure partie de son activité à l’export. L’étendue des domaines d’activité de la société et son expérience lui confèrent un savoir-faire unique en Europe dans le travail des pièces métalliques. Ses compétences résident notamment dans le dressage, la coupe de précision, la tribofinition, le décolletage et l’emboutissage ainsi que dans l’arrondissage par laser, la frappe à froid, l’empointage, le perçage, l’emboutissage, le cambrage, le meulage, le chanfreinage …;Projets territoriaux;2021-06-03;Electronique;;61.0;NORMANDIE
Sodopac;TPE / PME;329285969;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;DORDOGNE;AUGIGNAC;24300;45.56723540949346, 0.6940595821023867;La SOCIETE DOGNETON PANTOUFLES ARTICLES CHAUSSANTS (SODOPAC) est une PME de création, de production et de commercialisation d’articles chaussants (chausson, pantoufle de style charentaise, ballerine et mule) dont la semelle en mousse de polyuréthane (95% de la production) confère un confort exceptionnel. Les mules, chaussons et ballerines se composent également de produits textiles, naturels, synthétiques et de plus en plus de matériaux recyclés. L’entreprise élabore ses propres collections commercialisées sous la marque AIRPLUM, ce qui représente environ une gamme de 200 articles. Elle propose également certains modèles exclusifs en marques de distributeurs. Afin de répondre à une demande croissante en articles chaussants à semelle en mousse de polyuréthane, l’entreprise prévoit d’investir  dans une nouvelle ligne d’injection qui lui permettra d’accroître de 20 % ses volumes de production. Ce projet contribuera à créer 8 à 10 emplois supplémentaires et à consolider l’emploi du site qui compte actuellement 47 salariés.;Projets territoriaux;2021-12-08;Mode et Luxe;;24.0;NOUVELLE-AQUITAINE
CIRCA SUSTAINABLE CHEMICALS FRANCE SAS;TPE / PME;899798912;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;MOSELLE;CARLING;57500;49.1666391756, 6.71515090719;Fondé en 2006, le groupe Circa convertit des déchets de biomasse non alimentaire en produits chimiques biologiques à haute valeur ajoutée. L'usine ReSolute de Circa produira des solvants durables en utilisant les déchets de la biomasse forestière locale pour remplacer les solvants conventionnels nocifs traditionnellement fabriqués à partir de produits pétrochimiques. L'usine sera la première de son genre à produire le solvant Cyrène™ à une échelle commerciale de 1 000 tonnes par an. Elle entrera en service à la fin de 2023, créant 40 à 50 nouveaux emplois directs. En mars 2021, Circa Group s'est introduit avec succès sur le marché Euronext Growth Market à Oslo (symbole boursier CIRCA).;Relocalisation;2022-02-09;Intrants essentiels à l'industrie;;57.0;GRAND EST
DIDACTIC;TPE / PME;370500142;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;SEINE-MARITIME;GARDE;76430;49.56633543386604, 0.31342366005737277;L'objectif du projet est de rapatrier la production asiatique de dispositifs médicaux à usage unique en France afin de répondre aux besoins du système hospitalier français. Ces projets permettront de confier à l’entreprise TAG PLASTIQUE l’injection des composants plastiques rentrant dans la fabrication de ces dispositifs médicaux, l’entreprise DIDACTIC finalisera la fabrication de ces produits de santé. Cette internalisation s'inscrit à la fois dans une logique de souveraineté sanitaire et de sécurisation des flux d’approvisionnements. L’optimisation de la production et de la chaine de distribution permettra de rester compétitif sur l’attribution des marchés publics vis-à-vis des fournisseurs asiatiques.;Relocalisation;2021-06-18;Santé;;76.0;NORMANDIE
